transaction_id,purchase_date,customer_name,item_category,brand,unit_price,quantity_sold,payment_method,store_location,customer_rating,is_returned
1,2/3/2025,Lanita Frango,RAM,MSI,42168.79,4,GCash,Davao City,3,false
2,6/4/2025,Donal Aliman,Processors,MSI,8436.18,4,GCash,Taguig,3,false
3,1/1/2025,Lulita Pankethman,Keyboards,Razer,13621.05,3,GCash,Pasig,5,true
4,9/15/2025,Merilee Searsby,Keyboards,Keychron,63593.58,5,GCash,Manila,4,true
5,2/18/2025,Hewie Rochford,Mice,NZXT,49563.01,3,Credit Card,Manila,3,false
6,9/30/2025,Shellie Teck,Keyboards,Lian Li,40887.87,5,Credit Card,Quezon City,1,true
7,6/29/2025,Ashlee Caddy,Mice,Gigabyte,18410.98,4,Cash,Taguig,2,false
8,1/4/2025,Andrei Bartlosz,Monitors,NZXT,42012.27,4,Cash,Taguig,1,true
9,4/10/2025,Peyton Glenister,Motherboards,Lian Li,62534.82,4,Credit Card,Taguig,4,true
10,7/24/2025,Damiano Leuty,Motherboards,Zotac,81377.85,4,Maya,Cebu City,4,true
11,1/22/2025,Lorry Measor,Monitors,Lian Li,86209.29,4,GCash,Davao City,3,false
12,12/20/2025,Donovan Thompson,PC Cases,NZXT,81120.76,3,Cash,Mandaluyong,4,false
13,3/14/2025,Perry O'Corren,PC Cases,MSI,70032.9,4,Cash,Pasig,2,true
14,9/6/2025,Abbey Danet,RAM,Seasonic,17160.17,4,Credit Card,Taguig,2,false
15,12/1/2025,Lucias Osboldstone,GPUs,AMD,50618.33,3,Cash,Pasig,2,true
16,9/22/2025,Gerrard Filippucci,Keyboards,AMD,42444.22,5,Maya,Manila,2,false
17,3/13/2025,Pennie Hamnett,GPUs,Corsair,87216.25,5,Cash,Quezon City,4,false
18,4/25/2025,Maximilien Freebury,Power Supplies,MSI,88435.0,5,GCash,Davao City,2,true
19,1/3/2025,Jedidiah Beckenham,Processors,MSI,22429.45,3,Maya,Davao City,5,true
20,5/29/2025,Nannette Roberson,Processors,Gigabyte,73340.73,4,GCash,Taguig,3,false
21,8/25/2025,Aron Abbay,GPUs,Asus,42431.95,5,Maya,Cebu City,4,false
22,3/29/2025,Nikaniki Portigall,PC Cases,Zotac,57128.2,5,Debit Card,Davao City,2,false
23,1/17/2025,Katti Simcoe,Motherboards,Zotac,73525.96,5,Debit Card,Pasig,2,false
24,10/28/2025,Bradly Farden,GPUs,LG,90602.78,4,Maya,Quezon City,2,false
25,1/6/2025,Antonino Ingrem,GPUs,Gigabyte,61958.77,3,Debit Card,Mandaluyong,2,false
26,9/30/2025,Koralle Petrello,Keyboards,NZXT,5372.52,5,GCash,Cebu City,3,false
27,7/12/2025,Tessi Conduit,Processors,AMD,99607.65,3,Cash,Manila,3,false
28,3/14/2025,Catriona Cowins,Processors,Samsung,16476.87,4,Maya,Quezon City,3,false
29,3/17/2025,Manya Lemon,Mice,Logitech,33010.14,3,Debit Card,Bacoor,3,true
30,9/25/2025,Dud Ellin,GPUs,Logitech,39128.29,4,Cash,Taguig,1,true
31,6/20/2025,Ginnie Suttell,PC Cases,LG,56181.33,3,Debit Card,Mandaluyong,1,false
32,8/7/2025,Leupold Foister,Power Supplies,Corsair,18439.86,3,Credit Card,Cebu City,2,false
33,1/8/2025,Ivar Assinder,Processors,Corsair,58973.6,5,Credit Card,Cebu City,1,true
